xAcc, yAcc, zAcc, xGyro, yGyro, zGyro, steeringPercent, acceleratorPercent, coures, targetCourse
-1080,-516,13456,33,27,208,10,0,0,0
-1104,-460,13300,27,9,196,10,0,0,0
-1128,-384,13352,36,45,197,10,-2,0,0
-996,-424,13388,21,18,189,10,-2,0,0
-1184,-404,13356,34,40,189,10,0,0,0
-1048,-452,13468,18,-7,193,10,0,0,0
-1100,-360,13448,54,2,203,10,0,0,0
-1052,-480,13388,18,25,190,10,0,0,0
-1020,-476,13404,32,20,198,10,-2,0,0
-1020,-448,13308,37,21,192,10,0,0,0
-1028,-400,13312,31,41,185,10,0,0,0
-1016,-516,13292,32,14,204,10,0,0,0
-1068,-468,13552,40,12,186,10,-2,0,0
-1028,-484,13524,31,2,199,10,0,0,0
-1080,-452,13232,-6,26,206,10,0,0,0
-1084,-424,13312,34,17,193,10,0,0,0
-1176,-388,13516,20,21,215,10,-2,0,0
-1048,-408,13316,50,26,191,10,-2,0,0
-1132,-372,13436,30,21,208,10,-2,0,0
-1104,-496,13280,38,23,204,10,-2,0,0
-1056,-396,13380,21,-3,190,10,-2,0,0
-1084,-468,13380,11,15,207,10,0,0,0
-1152,-412,13300,21,25,186,10,0,0,0
-1076,-468,13420,26,27,207,10,-2,0,0
-1032,-328,13484,34,-9,203,10,0,0,0
-964,-488,13356,36,19,203,10,0,0,0
-1044,-504,13316,23,-14,198,10,0,0,0
-1208,-364,13424,15,25,200,10,-2,0,0
-1088,-384,13404,24,-1,200,10,-2,0,0
-1016,-412,13516,36,9,194,10,0,0,0
-1104,-424,13416,24,8,194,10,0,0,0
-1056,-528,13428,43,36,209,10,0,0,0
-1204,-484,13428,36,21,197,10,0,0,0
-1004,-408,13320,16,6,199,10,0,0,0
-1112,-396,13228,30,14,223,10,0,0,0
-1068,-376,13432,28,16,180,10,0,0,0
-1088,-480,13272,36,4,195,10,-2,0,0
-1176,-400,13224,32,10,210,10,-2,0,0
-1056,-476,13468,38,9,189,10,-2,0,0
-1100,-396,13416,48,19,207,10,-2,0,0
-1012,-532,13320,24,10,206,10,-2,0,0
-976,-488,13484,20,3,192,10,-2,0,0
-1028,-552,13468,31,12,202,10,0,0,0
-1156,-464,13484,55,12,201,10,0,0,0
-1088,-408,13516,30,23,193,10,-2,0,0
-1012,-396,13500,44,36,197,10,-2,0,0
-1136,-468,13304,34,12,180,10,0,0,0
-1032,-408,13356,42,16,202,10,0,0,0
-1112,-456,13376,42,45,210,10,-2,0,0
-1056,-460,13336,28,25,205,10,-2,0,0
-1108,-400,13432,28,31,203,10,0,0,0
-956,-416,13340,45,12,197,10,0,0,0
-1072,-428,13468,35,4,194,10,-2,0,0
-1148,-416,13504,24,-6,184,10,-2,0,0
-1052,-480,13380,48,26,193,10,0,0,0
-996,-508,13256,13,20,191,10,0,0,0
-964,-376,13364,29,16,211,10,0,0,0
-1016,-412,13488,13,8,181,10,0,0,0
-956,-340,13416,19,20,176,10,0,0,0
-1016,-528,13432,41,15,202,10,0,0,0
-1096,-420,13396,16,16,197,10,0,0,0
-1068,-356,13460,16,-1,192,10,0,0,0
-960,-480,13320,34,7,194,10,0,0,0
-1088,-496,13540,29,-1,187,10,0,0,0
-1068,-524,13344,24,19,203,10,-2,0,0
-1116,-408,13432,14,11,213,10,-2,0,0
-1112,-476,13552,22,11,202,10,-1,0,0
-1148,-456,13344,38,15,212,10,0,0,0
-1152,-364,13528,37,13,193,10,0,0,0
-1044,-396,13460,0,14,205,10,0,0,0
-1004,-572,13296,34,36,233,10,-1,0,0
-1060,-448,13232,20,12,187,10,0,0,0
-1140,-528,13400,24,-2,196,10,0,0,0
-1056,-392,13448,16,27,185,10,-1,0,0
-1148,-448,13212,21,35,197,10,-1,0,0
